epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2100.1,2.42529,1.34421,0.87843,0.62827,0.45374,0.50295,0.20233,2.26323,1.18464,0.85791,0.0011882,0.0011882,0.0011882
43,2147.41,2.43581,1.35141,0.87454,0.64098,0.45435,0.50701,0.20268,2.27149,1.18825,0.85723,0.0011684,0.0011684,0.0011684
44,2194.78,2.42272,1.34371,0.88026,0.63296,0.45054,0.50359,0.20164,2.26132,1.18357,0.8557,0.0011486,0.0011486,0.0011486
45,2242.19,2.43409,1.34505,0.86947,0.61813,0.46231,0.50317,0.20034,2.27945,1.18471,0.85959,0.0011288,0.0011288,0.0011288
46,2289.58,2.41904,1.33708,0.87468,0.61618,0.44834,0.49547,0.1969,2.27846,1.18864,0.86024,0.001109,0.001109,0.001109
47,2337.28,2.43331,1.35431,0.87507,0.6406,0.45143,0.50614,0.20208,2.2681,1.18358,0.85788,0.0010892,0.0010892,0.0010892
48,2384.76,2.4147,1.33179,0.87406,0.63791,0.45663,0.50765,0.20332,2.26013,1.18392,0.8566,0.0010694,0.0010694,0.0010694
49,2432.21,2.42015,1.32862,0.87082,0.63212,0.4586,0.5077,0.20401,2.25651,1.18721,0.85561,0.0010496,0.0010496,0.0010496
50,2479.68,2.41541,1.32667,0.87287,0.64116,0.45275,0.50698,0.2032,2.25958,1.17877,0.85678,0.0010298,0.0010298,0.0010298
51,2527.23,2.41966,1.33533,0.87491,0.65206,0.45816,0.51527,0.20708,2.24999,1.17191,0.8569,0.00101,0.00101,0.00101
52,2574.98,2.39172,1.32148,0.87194,0.62915,0.45838,0.51033,0.2039,2.2542,1.17616,0.85522,0.0009902,0.0009902,0.0009902
53,2622.43,2.40071,1.31733,0.86828,0.64022,0.4599,0.51432,0.20535,2.2539,1.1724,0.85527,0.0009704,0.0009704,0.0009704
54,2669.76,2.39562,1.31985,0.8732,0.62795,0.47165,0.51584,0.20615,2.24762,1.17758,0.85462,0.0009506,0.0009506,0.0009506
55,2717.04,2.39077,1.31858,0.87515,0.6462,0.46264,0.51676,0.20776,2.24983,1.16866,0.85278,0.0009308,0.0009308,0.0009308
56,2764.19,2.38919,1.31892,0.87093,0.638,0.46135,0.51633,0.20769,2.24418,1.16707,0.85506,0.000911,0.000911,0.000911
